filename;version_type;version;work_name_semantic;structure;instrumentation;lyrics_original;voice;tuning_A4;global_key;transposition;vocal_shift;noise_level;length;license
Bach_BWV1007-01_AD-Papalin2012;AD;Papalin2012;Prelude_Vlc;A;Recorders;;;437.21316929837263;G:maj;0;0;1;131.22829931972788;CC-BY-3.0
Bach_BWV1007-01_AD-Segovia1952;AD;Segovia1952;Prelude_Vlc;A;Guitar;;;438.4777156442618;D:maj;7;0;2;139.68489795918367;CC0
Bach_BWV1007-01_AR-Accou;AR;Accou;Prelude_Vlc;A;Guitar;;;441.2726066625215;D:maj;7;0;1;149.94131519274376;CC0
Bach_BWV1007-01_AR-Brooks2005;AR;Brooks2005;Prelude_Vlc;A;Guitar;;;439.7459194222075;D:maj;7;0;1;190.14530612244897;CC 
Bach_BWV1007-01_AR-InternetArchive2018;AR;InternetArchive2018;Prelude_Vlc;A;Banjo;;;435.7005266444053;A:maj;2;0;2;203.98095238095237;CC-BY-ND-4.0
Bach_BWV1007-01_AR-MacLeod2011;AR;MacLeod2011;Prelude_Vlc;A;Dulcimer;;;440.25422738288415;G:maj;12;0;1;128.90403628117915;CC-BY-3.0
Bach_BWV1007-01_AR-R-Oribe;AR-R;Oribe;Prelude_Vlc;A;Guitar;;;444.3419003668215;G:maj;0;0;1;184.9208163265306;CC0
Bach_BWV1007-01_AR-Sarro2010;AR;Sarro2010;Prelude_Vlc;A;Piano;;;441.2726066625215;G:maj;12;0;1;161.11201814058956;CC-BY-NC-ND-2.0
Bach_BWV1007-01_AR-Tavares2021;AR;Tavares2021;Prelude_Vlc;A;Guitar;;;438.4777156442618;D:maj;7;0;2;162.37714285714284;CC-BY-NC-ND-4.0
Bach_BWV1007-01_OV-Auner2011;OV;Auner2011;Prelude_Vlc;A;Cello;;;439.7459194222075;G:maj;0;0;1;156.0;CC-BY-NC-3.0
Bach_BWV1007-01_OV-Carr2014;OV;Carr2014;Prelude_Vlc;A;Cello;;;442.2933416182494;G:maj;0;0;1;159.5326984126984;CC-BY-NC-ND-3.0
Bach_BWV1007-01_OV-Casals1957;OV;Casals1957;Prelude_Vlc;A;Cello;;;444.0853125332247;G:maj;0;0;2;149.9;CC0
